号商,商品线索数,报价线索数,线索报价率,平均报价时间,未报价线索数,未报价率,同意报价数,同意报价率,付费订单数,交易中订单,成交订单数,成交率,平均成交时间,成交订单金额,客单价,毛收入,收益率,被付费线索数,付费率,回收成功率
商户042,954,125,13.1%,0,829,86.9%,48,38.4%,109,0,48,44.04%,13时30分21秒,23786.48,495.55,1368.48,5.75%,0,0%,5.03%
商户100,705,20,2.84%,0,685,97.16%,6,30%,14,0,6,42.86%,04时14分37秒,2206.5,367.75,131.5,5.96%,0,0%,0.85%
商户092,820,7,0.85%,0,813,99.15%,3,42.86%,7,0,3,42.86%,01时43分11秒,2711.48,903.83,153.48,5.66%,0,0%,0.37%
商户057,776,5,0.64%,0,771,99.36%,1,20%,4,0,1,25%,01时34分04秒,2226,2226,126,5.66%,0,0%,0.13%
商户022,820,2,0.24%,0,818,99.76%,1,50%,3,0,2,66.67%,36分25秒,3710,1855,210,5.66%,0,0%,0.24%
商户001,842,2,0.24%,01秒,840,99.76%,1,50%,2,0,1,50%,04时36分31秒,689,689,39,5.66%,0,0%,0.12%
商户029,705,2,0.28%,0,703,99.72%,0,0%,1,0,0,0%,0,0,0,0,0,0,0%,0%
商户053,845,1,0.12%,0,844,99.88%,1,100%,1,0,1,100%,08分41秒,2385,2385,135,5.66%,0,0%,0.12%
商户067,749,1,0.13%,0,748,99.87%,0,0%,1,0,0,0%,0,0,0,0,0,0,0%,0%
商户070,776,1,0.13%,0,775,99.87%,0,0%,1,0,0,0%,0,0,0,0,0,0,0%,0%
商户085,705,1,0.14%,0,704,99.86%,1,100%,1,0,1,100%,34分30秒,466.4,466.4,26.4,5.66%,0,0%,0.14%
商户002,773,0,0%,0,773,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户003,740,0,0%,0,740,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户006,721,0,0%,0,721,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户007,705,0,0%,0,705,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户008,820,0,0%,0,820,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户009,751,0,0%,0,751,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户010,797,0,0%,0,797,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户012,705,0,0%,0,705,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户013,842,0,0%,0,842,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户013,842,0,0%,0,842,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户014,705,0,0%,0,705,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户015,835,0,0%,0,835,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户016,820,0,0%,0,820,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户017,842,0,0%,0,842,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户017,842,0,0%,0,842,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户018,776,0,0%,0,776,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户019,776,0,0%,0,776,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户020,727,0,0%,0,727,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户021,705,0,0%,0,705,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户025,749,0,0%,0,749,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户027,716,0,0%,0,716,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户031,790,0,0%,0,790,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户034,872,0,0%,0,872,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户035,749,0,0%,0,749,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户037,842,0,0%,0,842,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户038,738,0,0%,0,738,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户040,776,0,0%,0,776,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户045,972,0,0%,0,972,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户046,855,0,0%,0,855,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户046,855,0,0%,0,855,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户046,855,0,0%,0,855,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户047,776,0,0%,0,776,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户048,727,0,0%,0,727,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户049,776,0,0%,0,776,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户051,705,0,0%,0,705,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户054,765,0,0%,0,765,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户056,842,0,0%,0,842,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户058,705,0,0%,0,705,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户059,749,0,0%,0,749,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户060,705,0,0%,0,705,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户061,790,0,0%,0,790,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户062,705,0,0%,0,705,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户063,705,0,0%,0,705,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户064,779,0,0%,0,779,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户065,814,0,0%,0,814,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户068,760,0,0%,0,760,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户071,842,0,0%,0,842,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户072,820,0,0%,0,820,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户073,998,0,0%,0,998,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户074,743,0,0%,0,743,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户075,858,0,0%,0,858,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户076,776,0,0%,0,776,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
