号商,商品线索数,报价线索数,线索报价率,平均报价时间,未报价线索数,未报价率,同意报价数,同意报价率,付费订单数,交易中订单,成交订单数,成交率,平均成交时间,成交订单金额,客单价,毛收入,收益率,被付费线索数,付费率,回收成功率
商户042,783,148,18.9%,0,635,81.1%,59,39.86%,130,0,60,46.15%,10时39分39秒,35315.06,588.58,2024.06,5.73%,0,0%,7.66%
商户100,581,18,3.1%,0,563,96.9%,10,55.56%,16,0,10,62.5%,01时04分30秒,3476,347.6,206,5.93%,0,0%,1.72%
商户092,699,16,2.29%,0,683,97.71%,10,62.5%,15,0,10,66.67%,16时49分59秒,8993.04,899.3,509.04,5.66%,0,0%,1.43%
商户085,581,6,1.03%,0,575,98.97%,3,50%,6,0,3,50%,42分31秒,1717.2,572.4,97.2,5.66%,0,0%,0.52%
商户045,812,3,0.37%,0,809,99.63%,0,0%,3,0,0,0%,0,0,0,0,0,0,0%,0%
商户057,668,3,0.45%,0,665,99.55%,1,33.33%,3,0,1,33.33%,32分53秒,402.8,402.8,22.8,5.66%,0,0%,0.15%
商户059,612,3,0.49%,0,609,99.51%,2,66.67%,3,0,2,66.67%,27分12秒,1272,636,72,5.66%,0,0%,0.33%
商户022,699,2,0.29%,0,697,99.71%,2,100%,2,0,2,100%,06时02分52秒,2226,1113,126,5.66%,0,0%,0.29%
商户053,717,2,0.28%,0,715,99.72%,2,100%,2,0,2,100%,10分38秒,1613.32,806.66,91.32,5.66%,0,0%,0.28%
商户029,581,1,0.17%,0,580,99.83%,0,0%,1,0,0,0%,0,0,0,0,0,0,0%,0%
商户048,596,1,0.17%,0,595,99.83%,0,0%,1,0,0,0%,0,0,0,0,0,0,0%,0%
商户064,622,3,0.48%,0,619,99.52%,0,0%,1,0,0,0%,0,0,0,0,0,0,0%,0%
商户067,612,1,0.16%,0,611,99.84%,0,0%,1,0,0,0%,0,0,0,0,0,0,0%,0%
商户094,714,1,0.14%,0,713,99.86%,1,100%,1,0,1,100%,55分14秒,848,848,48,5.66%,0,0%,0.14%
商户001,714,0,0%,0,714,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户002,714,0,0%,0,714,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户003,610,0,0%,0,610,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户006,601,0,0%,0,601,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户007,581,0,0%,0,581,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户008,699,0,0%,0,699,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户009,617,0,0%,0,617,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户010,647,0,0%,0,647,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户012,581,0,0%,0,581,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户013,714,0,0%,0,714,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户013,714,0,0%,0,714,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户014,581,0,0%,0,581,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户015,711,0,0%,0,711,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户016,699,0,0%,0,699,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户017,714,0,0%,0,714,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户017,714,0,0%,0,714,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户018,668,0,0%,0,668,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户019,668,0,0%,0,668,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户020,596,0,0%,0,596,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户021,581,0,0%,0,581,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户025,612,0,0%,0,612,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户027,586,0,0%,0,586,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户028,581,0,0%,0,581,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户031,641,0,0%,0,641,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户034,747,0,0%,0,747,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户035,610,0,0%,0,610,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户037,714,0,0%,0,714,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户038,593,0,0%,0,593,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户040,668,0,0%,0,668,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户046,728,0,0%,0,728,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户046,728,0,0%,0,728,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户046,728,0,0%,0,728,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户047,668,0,0%,0,668,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户049,668,0,0%,0,668,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户051,581,0,0%,0,581,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户054,632,0,0%,0,632,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户056,714,0,0%,0,714,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户058,581,0,0%,0,581,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户060,581,0,0%,0,581,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户061,655,0,0%,0,655,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户062,581,0,0%,0,581,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户063,581,0,0%,0,581,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户065,651,0,0%,0,651,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户068,617,0,0%,0,617,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户070,668,0,0%,0,668,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户071,714,0,0%,0,714,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户072,699,0,0%,0,699,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户073,831,0,0%,0,831,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户074,609,0,0%,0,609,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户075,682,0,0%,0,682,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户076,668,0,0%,0,668,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户076,736,0,0%,0,736,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户080,699,0,0%,0,699,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户081,593,0,0%,0,593,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户082,92,0,0%,0,92,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户083,809,0,0%,0,809,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户084,823,0,0%,0,823,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户086,601,0,0%,0,601,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户089,699,0,0%,0,699,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户090,581,0,0%,0,581,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户091,594,0,0%,0,594,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户095,632,0,0%,0,632,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户097,725,0,0%,0,725,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户098,683,0,0%,0,683,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户101,725,0,0%,0,725,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户103,699,0,0%,0,699,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
