号商,商品线索数,报价线索数,线索报价率,平均报价时间,未报价线索数,未报价率,同意报价数,同意报价率,付费订单数,交易中订单,成交订单数,成交率,平均成交时间,成交订单金额,客单价,毛收入,收益率,被付费线索数,付费率,回收成功率
商户042,891,126,14.14%,0,765,85.86%,53,42.06%,113,0,53,46.9%,05时45分16秒,38831.44,732.67,2217.44,5.71%,0,0%,5.95%
商户092,778,10,1.29%,0,768,98.71%,3,30%,10,0,3,30%,01时02分27秒,456.6,152.2,38.6,8.45%,0,0%,0.39%
商户100,685,14,2.04%,0,671,97.96%,4,28.57%,9,0,4,44.44%,51分12秒,1043.3,260.83,68.3,6.55%,0,0%,0.58%
商户029,685,2,0.29%,0,683,99.71%,0,0%,2,0,0,0%,0,0,0,0,0,0,0%,0%
商户064,758,2,0.26%,0,756,99.74%,2,100%,2,0,2,100%,01时44分52秒,965,482.5,55,5.7%,0,0%,0.26%
商户022,778,1,0.13%,0,777,99.87%,1,100%,1,0,1,100%,39分56秒,1378,1378,78,5.66%,0,0%,0.13%
商户057,733,1,0.14%,0,732,99.86%,1,100%,1,0,1,100%,28分38秒,275.6,275.6,15.6,5.66%,0,0%,0.14%
商户059,730,1,0.14%,0,729,99.86%,1,100%,1,0,1,100%,33分00秒,318,318,18,5.66%,0,0%,0.14%
商户067,730,1,0.14%,0,729,99.86%,1,100%,1,0,1,100%,45分12秒,110,110,10,9.09%,0,0%,0.14%
商户070,733,1,0.14%,0,732,99.86%,0,0%,1,0,0,0%,0,0,0,0,0,0,0%,0%
商户001,791,0,0%,0,791,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户002,743,0,0%,0,743,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户003,717,0,0%,0,717,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户006,712,0,0%,0,712,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户007,685,0,0%,0,685,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户008,778,0,0%,0,778,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户009,731,0,0%,0,731,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户010,786,0,0%,0,786,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户012,685,0,0%,0,685,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户013,791,0,0%,0,791,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户013,791,0,0%,0,791,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户014,685,0,0%,0,685,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户015,789,0,0%,0,789,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户016,778,0,0%,0,778,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户017,791,0,0%,0,791,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户017,791,0,0%,0,791,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户018,733,0,0%,0,733,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户019,733,0,0%,0,733,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户020,698,0,0%,0,698,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户021,685,0,0%,0,685,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
商户023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商户025,730,0,0%,0,730,100%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
