DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
2011/1/1,30.6166666,116.9666666,63.2,AQ,33.4,8,3.6,8,1031.6,8,28.7,4,7.8,8,5.6,8,7.8,999.9,37.2, ,27.5, ,0,I,999.9,0
2011/1/2,30.6166666,116.9666666,63.2,AQ,31.9,8,25.1,8,1030.5,8,27.7,4,6.1,8,5.6,8,7.8,999.9,35.1, ,30.2,*,0.1,G,999.9,1000
2011/1/3,30.6166666,116.9666666,63.2,AQ,32.1,8,24.9,8,1031.2,8,28.4,4,6.1,8,3.4,8,5.8,999.9,35.8, ,29.5,*,0,G,999.9,1000
2011/1/4,30.6166666,116.9666666,63.2,AQ,35.4,8,23.3,8,1027.7,8,25.2,4,6.4,8,2.9,8,3.9,999.9,37.6, ,29.5, ,0,G,999.9,0
2011/1/5,30.6166666,116.9666666,63.2,AQ,34.9,8,25.7,8,1030.1,8,26.8,4,6.1,8,4.1,8,5.8,999.9,37.4, ,32.9,*,0.02,G,999.9,1000
2011/1/6,30.6166666,116.9666666,63.2,AQ,31.3,8,7.4,8,1036.4,8,33.7,4,6.4,8,4.9,8,7.8,999.9,36.1, ,26.4,*,0,I,999.9,0
2011/1/7,30.6166666,116.9666666,63.2,AQ,31.7,8,11.2,8,1031.1,8,29,4,7.8,8,3.2,8,5.8,999.9,39, ,26.2,*,0,I,999.9,0
2011/1/8,30.6166666,116.9666666,63.2,AQ,35.7,8,18.4,8,1027.9,8,24.8,4,7.1,8,2.7,8,5.8,999.9,44.1, ,23.9, ,0,I,999.9,0
2011/1/9,30.6166666,116.9666666,63.2,AQ,33.6,8,6,8,1033.9,8,31.1,4,6.8,8,6.6,8,9.7,999.9,37.8, ,27.3,*,0,I,999.9,0
2011/1/10,30.6166666,116.9666666,63.2,AQ,32.2,8,7.5,8,1029.3,8,26.8,4,8.5,8,3.4,8,5.8,999.9,36.1, ,26.2, ,0,I,999.9,0
