id,product_id,business_code,scene,create_time,update_time,create_by,update_by,tenant_id,status
1778620343402610689,6901845040968,12238,dynamic-refrigerator,1712891109693,1712891109693,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1774737364145319937,6901939621202,12032401,dynamic-refrigerator,1711965335294,1711965335294,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1774745730177392641,6901939621608,12006541,dynamic-refrigerator,1711967329912,1752227036193,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1744643828645289985,6902538004045,10315,dynamic-refrigerator,1704790477320,1759942811822,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1744643746169540610,6907992507095,12022303,dynamic-refrigerator,1704790457657,1704790457657,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1744643662396706817,6917878030623,296,dynamic-refrigerator,1704790437684,1747709716262,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1770338024512503810,6920907800913,10002651,dynamic-refrigerator,1710916450990,1711006391207,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1744643551063769090,6921168550142,9099,dynamic-refrigerator,1704790411140,1706854276257,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1752250093244264449,6921168593804,12003719,dynamic-refrigerator,1706603952119,1706603952119,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1861365574190682114,6923644268503,2307040920492361001,dynamic-refrigerator,1732619110045,1732619110045,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1744643458877161474,6925303721367,270,dynamic-refrigerator,1704790389162,1732622522657,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1861368723886194689,6925303721398,2210121618364401001,dynamic-refrigerator,1732619860990,1732619860990,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1744643382308429825,6928804016871,23829,dynamic-refrigerator,1704790370905,1706839735124,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1774744159953793026,6937962102531,12000193,dynamic-refrigerator,1711966955541,1743128280993,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1778656762201796610,6938888889803,12019284,dynamic-refrigerator,1712899792611,1754985454327,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1778663552795262978,6970399921702,12029433,dynamic-refrigerator,1712901411614,1712901411614,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1744643220221263873,6972549660097,31,dynamic-refrigerator,1704790332262,1704790332262,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1774755010028855297,1428614508472963072,24491,dynamic-refrigerator,1711969542402,1711969542402,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1774746647912079361,1429704883535089664,1008,dynamic-refrigerator,1711967548718,1711967548718,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1774723756661321729,1429708409195728896,48,dynamic-refrigerator,1711962091017,1759942166792,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1778612603310993409,1429710945831096320,25,dynamic-refrigerator,1712889264311,1712889264311,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1778699889584680962,1463040334610042880,12038614,dynamic-refrigerator,1712910074980,1732622428501,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1774737185157558273,1463040747275030528,507,dynamic-refrigerator,1711965292620,1751205832525,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1774707590187708418,1463043638459109376,12030547,dynamic-refrigerator,1711958236631,1711958236631,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1778619145877237761,1463043916205920256,12025332,dynamic-refrigerator,1712890824180,1712890824180,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1778743961218433026,1463044186126159872,12011394,dynamic-refrigerator,1712920582477,1732622536776,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1778679997532979201,1463044668911521792,25687,dynamic-refrigerator,1712905332346,1712905332346,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1778664423085469698,1463045581042618368,12030810,dynamic-refrigerator,1712901619108,1712901619108,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1744651312911015938,1463761715442225152,12010144,dynamic-refrigerator,1704792261708,1704792261708,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1778711170098180098,1466635461370843136,196,dynamic-refrigerator,1712912764464,1712912764464,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1861355414021918721,1466635687733235712,2303311744322231001,dynamic-refrigerator,1732616687672,1732616687672,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1778624680057094146,1466637115709198336,12007462,dynamic-refrigerator,1712892143632,1760978963145,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1891042495339642882,1466638257809788928,36,dynamic-refrigerator,1739694639416,1739694639416,1,1,557f54e2-0305-4eac-8373-051d538100bd,1
1778700897555623938,1466639855541817344,12040951,dynamic-refrigerator,1712910315299,1712910315299,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1744651245668978689,1466646620903837696,22875,dynamic-refrigerator,1704792245677,1704792245677,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
1920024543468941314,1466646822612111360,25025,dynamic-refrigerator,1746604498151,1754288806071,1,1,557f54e2-0305-4eac-8373-051d538100bd,1
1861361349377314817,1466647259889274880,2210042222503530001,dynamic-refrigerator,1732618102770,1732618102770,61,61,557f54e2-0305-4eac-8373-051d538100bd,1
