姓名,总分进退率,语文进退率,数学进退率,英语进退率,物理进退率,化学进退率,生物进退率
学生_1,30.76923076923077,58.82352941176471,69.04761904761905,-23.456790123456788,-23.52941176470588,9.090909090909092,36.470588235294116
学生_10,-23.376623376623375,-47.093023255813954,-63.898916967509024,25.38860103626943,-64.0625,-29.03225806451613,1.5625
学生_11,-5.263157894736842,8.07799442896936,8.16326530612245,-30.136986301369863,72.72727272727273,-12.82051282051282,-17.159763313609467
学生_12,-1.5151515151515151,98.34710743801654,-42.04946996466431,-60.0,-1.0309278350515463,-13.600000000000001,22.658610271903324
学生_13,-17.073170731707318,51.66666666666667,-71.81818181818181,2.898550724637681,-16.831683168316832,-16.024340770791078,-4.247104247104247
学生_14,-2.158273381294964,-26.732673267326735,20.284697508896798,-30.64516129032258,0.7874015748031495,44.44444444444444,-9.565217391304348
学生_15,11.888111888111888,-82.35294117647058,86.1788617886179,-11.11111111111111,11.11111111111111,-64.0552995391705,23.809523809523807
学生_16,58.490566037735846,97.46192893401016,32.86713286713287,61.111111111111114,-40.909090909090914,-6.896551724137931,29.411764705882355
学生_17,0.591715976331361,-32.18390804597701,-27.710843373493976,26.666666666666668,33.70786516853933,-30.980392156862745,-22.14765100671141
学生_18,19.17808219178082,28.915662650602407,4.651162790697675,45.55873925501432,37.28813559322034,-1.2658227848101267,-81.81818181818183
学生_19,-1.098901098901099,30.015552099533437,-47.42857142857143,-5.932203389830509,55.55555555555556,-38.589211618257266,-15.942028985507244
学生_2,39.62264150943396,0.0,19.642857142857142,92.15686274509804,-21.951219512195124,-16.129032258064516,0.0
学生_20,5.202312138728324,-4.329896907216495,-68.36461126005362,54.347826086956516,32.544378698224854,61.963190184049076,6.422018348623854
学生_21,67.27272727272727,94.28571428571428,62.76595744680851,4.635761589403973,83.41968911917098,29.166666666666668,55.223880597014926
学生_22,-18.333333333333332,-27.014218009478675,-76.19047619047619,-18.213058419243985,61.904761904761905,4.602510460251046,-52.0
学生_23,15.11627906976744,82.5503355704698,-7.636363636363637,37.34939759036144,-1.6574585635359116,-2.803738317757009,0.8695652173913043
学生_24,11.475409836065573,-60.28880866425993,58.94039735099338,24.58233890214797,38.84297520661157,-88.3495145631068,14.136125654450263
学生_25,-5.93607305936073,-37.254901960784316,-53.54523227383863,28.57142857142857,33.78378378378378,-56.86274509803921,18.181818181818183
学生_26,6.9306930693069315,-41.899441340782126,31.72690763052209,3.1055900621118013,73.33333333333333,-10.2803738317757,-32.30769230769231
